"","bilingu_wordpair","en_wordpair","en_word_1","en_word_2","cs_wordpair","cs_word_1","cs_word_2","cs upper CI","cs mean","cs lower CI","en upper CI","en mean","en lower CI","CS_Annotator_ 1","CS_Annotator_ 2","CS_Annotator_ 3","CS_Annotator_ 4","CS_Annotator_ 5","CS_Annotator_ 6","CS_Annotator_ 7","CS_Annotator_ 8","CS_Annotator_ 9","CS_Annotator_ 10","CS_Annotator_ 11","CS_Annotator_ 12","CS_Annotator_ 13","CS_Annotator_ 14","CS_Annotator_ 15","CS_Annotator_ 16","CS_Annotator_ 17","CS_Annotator_ 18","CS_Annotator_ 19","CS_Annotator_ 20","CS_Annotator_ 21","CS_Annotator_ 22","CS_Annotator_ 23","CS_Annotator_ 24","CS_Annotator_ 25"
"514","seafood-sea_ryby-moře","seafood-sea","seafood","sea","ryby-moře","ryby","moře",8.24275752657622,7.724,7.20524247342378,8.11017076272083,7.46875,6.82732923727917,7,6,6,7,8,9,10,8,9,7,7,8,8,9.6,6,6,7,9,7,7,10,9,8.5,7,7
"518","secretary-senate_tajemník-senát","secretary-senate","secretary","senate","tajemník-senát","tajemník","senát",5.68370856809615,4.8,3.91629143190385,6.22129703502369,5.0625,3.90370296497631,3,1,4,8,8,8,4,5,3,6,5,4,3,7,2,4,7,6,5,7,0,4,6,4,6
"521","seven-series_sedm-série","seven-series","seven","series","sedm-série","sedm","série",4.25760953598128,3.44,2.62239046401872,4.59151323876348,3.5625,2.53348676123652,5,2,5,1,1,5,1,0,6,6,3,6,4,7,2,2,4,3,5,3,2,2,1,5,5
"523","shore-woodland_břeh-zalesnění","shore-woodland","shore","woodland","břeh-zalesnění","břeh","zalesnění",4.18659451323588,3.38,2.57340548676412,4.41598399039008,3.07692307692308,1.73786216345608,8,0,1,4,5,5,4,0,5,3,2,5,2,3.5,2,5,4,4,6,3,2,3,4,4,0
"527","shower-flood_přeháňka-záplava","shower-flood","shower","flood","přeháňka-záplava","přeháňka","záplava",6.79872505918299,6.168,5.53727494081701,7.30889337082571,6.03125,4.75360662917429,6,4,7,7,7,4,5,4,5,6,4,7,7,6.7,3,7,7,6,7,7,9,6,7.5,6,9
"529","shower-thunderstorm_přeháňka-bouře","shower-thunderstorm","shower","thunderstorm","přeháňka-bouře","přeháňka","bouře",7.93298083711927,7.308,6.68301916288073,7.53875903380277,6.3125,5.08624096619723,8,7,7,8,7,8,9,4,9,7,6,8,8,8.7,8,7.5,7,5,7,4,10,6,8.5,6,9
"530","school-center_škola-centrum","school-center","school","center","škola-centrum","škola","centrum",4.83565412533237,3.88,2.92434587466763,4.3700091761824,3.4375,2.5049908238176,2,1,4,4,6,1,2,0,8,7,1,6,4,7,0,5,3,4,5,4,7,2,4,4,6
"533","sign-recess_znak-úpadek","sign-recess","sign","recess","znak-úpadek","znak","úpadek",3.59980529527633,2.64,1.68019470472367,3.4906226281325,2.375,1.2593773718675,3,0,0,1,2,7,0,0,5,6,1,3,2,4,3,3,5,3,3,0,7,0,2,0,6
"535","situation-conclusion_situace-závěr","situation-conclusion","situation","conclusion","situace-závěr","situace","závěr",5.17589765389082,4.196,3.21610234610918,5.98348454330645,4.8125,3.64151545669355,3,3,3,5,4,0,6,6,8,6,2,7,4,7.9,5,4,3,3,5,1,9,3,2,5,0
"536","situation-isolation_situace-izolace","situation-isolation","situation","isolation","situace-izolace","situace","izolace",2.83793084284201,2.012,1.186069157158,5.28984747444584,3.875,2.46015252555416,1,0,3,1,6,0,0,0,5,7,1,0,4,2.3,2,3,2,4,3,3,1,1,1,0,0
"538","size-prominence_velikost-význačnost","size-prominence","size","prominence","velikost-význačnost","velikost","význačnost",6.99796412049885,5.996,4.99403587950115,6.49554650498006,5.3125,4.12945349501994,3,4,7,6,10,5,8,7,8,6,1,9,4,8.9,7,8,2,3,5,6,8,3,9,7,5
"539","skin-eye_kůže-oko","skin-eye","skin","eye","kůže-oko","kůže","oko",6.17145868397872,5.048,3.92454131602128,7.18658980703594,6.21875,5.25091019296406,6,0,7,7,8,0,1,3,4,6,6,1,2,9.7,2,7.5,6,5.5,7,5,8,8,5.5,6,5
"540","smart-student_chytrý-student","smart-student","smart","student","chytrý-student","chytrý","student",7.32029986131146,6.492,5.66370013868854,5.45338954987201,4.61538461538461,3.77737968089722,2,4,4,6,7,9,9,5,7,7,7,8,4,9.8,5,7,8,5,7,6,10,5,8.5,5,7
"541","smart-stupid_chytrý-hloupý","smart-stupid","smart","stupid","chytrý-hloupý","chytrý","hloupý",8.97027303083318,8.26,7.54972696916682,7.3754559843312,5.80769230769231,4.23992863105342,9,9,7,8.5,7,10,5,10,9,8,5,10,10,10,9,8.5,8,5,9,6,10,8,9.5,6,10
"542","soap-opera_mýdlová-opera","soap-opera","soap","opera","mýdlová-opera","mýdlová","opera",7.29420996020598,5.904,4.51379003979402,8.63141559702735,7.9375,7.24358440297265,8,0,6,8,10,8,10,7,9,7,1,8,0,2.1,0,8,8,2,8,3,10,5,8.5,4,7
"544","space-chemistry_vesmír-chemie","space-chemistry","space","chemistry","vesmír-chemie","vesmír","chemie",4.97966311916704,3.944,2.90833688083296,6.14348364214206,4.88461538461539,3.62574712708871,5,4,2,4,7,1,9,0,3,4,3,0,4,8.6,6,5,6,7,2,2,5,5,4,0,2
"545","space-world_vesmír-svět","space-world","space","world","vesmír-svět","vesmír","svět",7.95261681035778,7.184,6.41538318964222,7.53979559484684,6.53125,5.52270440515316,8,2,6,7,8,6,9,6,9,8,3,9,8,8.6,5,8.5,7,9,7,7,10,8,7.5,6,7
"546","start-match_začátek-zápas","start-match","start","match","začátek-zápas","začátek","zápas",5.97138020553518,5.136,4.30061979446482,5.88349294580069,4.46875,3.05400705419931,3,3,5,2,6,6,9,3,9,6,3,7,3,7.4,4,5,5,6,7,4,8,3,3,5,6
"547","start-year_začátek-rok","start-year","start","year","začátek-rok","začátek","rok",6.18499932796414,5.136,4.08700067203586,5.27322385026713,4.0625,2.85177614973287,3,4,2,1,8,7,0,2,5,8,4,7,6,9,5,5,4,8.9,5,6,9,6,4.5,2,7
"550","stock-CD_inventář-CD","stock-CD","stock","CD","inventář-CD","inventář","CD",3.44258305947547,2.6,1.75741694052453,2.10269359272441,1.30769230769231,0.512691022660201,1,0,3,3,1,0,2,0,7,6,2,5,3,5,6,3,4,1,4,1,1,2,2,0,3
"553","stock-egg_sklad-vajíčko","stock-egg","stock","egg","sklad-vajíčko","sklad","vajíčko",2.06736154950324,1.46,0.852638450496762,2.87977107451339,1.80769230769231,0.735613540871223,2,2,1,0,1,0,0,0,1,4,3,4,4,2,2,3,1,1.5,4,0,0,1,0,0,0
"554","stock-jaguar_sklad-jaguár","stock-jaguar","stock","jaguar","sklad-jaguár","sklad","jaguár",1.87367624034065,1.24,0.606323759659346,1.72101722473125,0.923076923076923,0.125136621422593,5,0,0,1,0,0,5,0,0,2,1,0,0,0,3,1,2,3,2,3,1,1,0,1,0
"558","stock-life_sklad-život","stock-life","stock","life","sklad-život","sklad","život",2.21297524676798,1.44,0.667024753232022,1.75828383661615,0.923076923076923,0.0878700095376956,4,0,0,1,0,0,0,0,0,4,1,5,3,0,2,1,1,4,3,0,6,1,0,0,0
"559","stock-live_zásobit-žít","stock-live","stock","live","zásobit-žít","zásobit","žít",4.51411163998749,3.528,2.54188836001251,5.38852289687327,3.73076923076923,2.07301556466519,6,3,6,5,4,0,3,0,4,5,1,8,3,6.7,4,4,1,8.5,5,1,1,2,4,2,1
"563","stock-market_akcie-trh","stock-market","stock","market","akcie-trh","akcie","trh",8.4460680124045,8.108,7.7699319875955,8.82567630444854,8.07692307692308,7.32816984939761,8,7,7,8,8,9,10,7,8,8,8,8,8,9.7,9,8,8,8.5,8,7,8,8,9.5,8,7
"567","stock-phone_sklad-telefon","stock-phone","stock","phone","sklad-telefon","sklad","telefon",2.41804970233511,1.772,1.12595029766489,2.37730885268527,1.61538461538462,0.85346037808396,3,0,0,0,1,0,3,0,3,5,1,2,0,2.3,2,2,1,2,2,3,6,2,2,2,0
"569","street-avenue_ulice-avenue","street-avenue","street","avenue","ulice-avenue","ulice","avenue",9.09947635676471,8.544,7.9885236432353,9.33647236333489,8.875,8.41352763666511,10,8,7,7,9,10,9,6,9.5,7,8,10,10,8.6,9,9,8,9,9,8,10,5,9.5,8,10
"570","street-block_ulice-blok","street-block","street","block","ulice-blok","ulice","blok",7.56185642944692,6.976,6.39014357055308,8.23179502001686,6.875,5.51820497998314,8,6,6,8,8,10,4,4,7,7,9,8,5,6.4,8,7,8,7,7,7,8,5,7,7,7
"571","street-children_ulice-děti","street-children","street","children","ulice-děti","ulice","děti",6.04384339576201,5.444,4.84415660423799,5.72711384056539,4.9375,4.14788615943461,3,5,5,6.5,6,7,9,2,6,6,5,5,6,5.6,4,6,4,6,5,4,8,6,5,5,6
"572","street-place_ulice-místo","street-place","street","place","ulice-místo","ulice","místo",6.33812598371063,5.62,4.90187401628937,7.16471563258043,6.4375,5.71028436741957,6,5,5,7,7,6,5,1,9,5,5,7,4,7,4,6.5,6,6,6,5,9,3,7,5,4
"573","stroke-hospital_mrtvice-nemocnice","stroke-hospital","stroke","hospital","mrtvice-nemocnice","mrtvice","nemocnice",7.47796700732869,6.888,6.29803299267131,7.96676753349169,7.03125,6.09573246650831,7,6,7,7,7,5,10,6,9,6,6,8,8,6.7,5,7.5,8,5,8,4,9,8,7,6,6
"574","student-professor_student-profesor","student-professor","student","professor","student-profesor","student","profesor",8.02665980282234,7.42,6.81334019717766,7.86548337900973,6.80769230769231,5.74990123637489,6,5,7,7,7,6,10,4,9,8,6,8,6,9.5,8,8,7,7,8,7,10,8,9,7,8
"575","sugar-approach_cukr-přístup","sugar-approach","sugar","approach","cukr-přístup","cukr","přístup",1.21548430322989,0.804,0.39251569677011,1.59977120336972,0.875,0.150228796630279,0,2,0,0,0,2,0,0,3,2,1,1,1,0.1,1,0,1,3,2,0,0,1,0,0,0
"576","summer-drought_léto-sucho","summer-drought","summer","drought","léto-sucho","léto","sucho",7.10300348218609,6.36,5.61699651781391,7.98014296362666,7.15625,6.33235703637334,4,6,7,6,7,6,10,2,9,7,4,8,7,9,7,5,6,5,7,5,8,7,4,6,7
"577","summer-nature_léto-příroda","summer-nature","summer","nature","léto-příroda","léto","příroda",7.11030164833617,6.25,5.38969835166383,6.47033317639858,5.625,4.77966682360142,9,2,5,4,8,8,10,4,8,6,4,7,4,9,5,7.5,6,5,6,6,9,4,8.75,5,6
"578","telephone-communication_telefon-komunikace","telephone-communication","telephone","communication","telefon-komunikace","telefon","komunikace",7.96687115983061,7.32,6.67312884016939,8.1977785518029,7.5,6.8022214481971,3,7,7,8,8,8,10,5,9.5,7,6,8,7,9.5,7,7,7,6,7,7,10,7,9,6,7
"579","television-film_televize-film","television-film","television","film","televize-film","televize","film",8.04262608084205,7.428,6.81337391915795,8.42008509797455,7.71875,7.01741490202545,5,5,7,8,7,7,10,8,9.5,8,5,9,6,9.7,8,8,7,5,7,6,9,8,8.5,7,8
"581","television-radio_televize-rádio","television-radio","television","radio","televize-rádio","televize","rádio",8.0440134820345,7.476,6.9079865179655,7.68912966890475,6.76923076923077,5.84933186955679,8,6.5,7,7,7,6,10,5,9,8,6,8,6,8.9,8,9,8,5,7,6,10,8,8.5,7,8
"582","tennis-racket_tenis-raketa","tennis-racket","tennis","racket","tenis-raketa","tenis","raketa",8.34240149687479,7.82,7.29759850312521,8.65499843578785,7.56153846153846,6.46807848728908,6,6,7,8,7,9,10,6,9,8,5,8,9,9,8,7,8,9,8,8,10,8,8.5,7,7
"584","territory-kilometer_území-kilometr","territory-kilometer","territory","kilometer","území-kilometr","území","kilometr",6.29697376121126,5.444,4.59102623878874,6.4566464712027,5.28125,4.1058535287973,9,3,6,1,7,6,6,0,7,6,5,7,6,7.1,5,7,4,7,6,5,8,4,3,6,5
"585","territory-surface_území-povrch","territory-surface","territory","surface","území-povrch","území","povrch",5.55491642015645,4.608,3.66108357984355,6.49781540456798,5.34375,4.18968459543202,7,2,3,4,7,4,10,0,4,7,2,6,6,6.7,2,6,4,7,5,2,6,3,4.5,5,2
"587","theater-history_divadlo-historie","theater-history","theater","history","divadlo-historie","divadlo","historie",5.63694324753983,4.624,3.61105675246017,5.10654642801483,3.90625,2.70595357198517,5,2,5,1,6,2,8,0,7,8,3,6,5,9.1,6,7,3,5,6,4,7,2,4.5,3,1
"588","tiger-animal_tygr-zvíře","tiger-animal","tiger","animal","tygr-zvíře","tygr","zvíře",8.70111574739602,8.08,7.45888425260398,7.94747690496281,7,6.05252309503719,8,5,7,8,10,10,10,7,10,9,7,9,10,8.5,9.5,7,7,8,7,6,10,9,7,7,6
"589","tiger-carnivore_tygr-masožravec","tiger-carnivore","tiger","carnivore","tygr-masožravec","tygr","masožravec",8.06953591984605,7.2,6.33046408015395,7.84733799517218,7.08461538461538,6.32189277405859,9,0,7,7,8,9,10,6,10,7,6,7,10,8.5,6,7.5,6,5,7,6,10,7,7,6,8
"590","tiger-cat_tygr-kočka","tiger-cat","tiger","cat","tygr-kočka","tygr","kočka",8.24042498500767,7.752,7.26357501499233,8.19525866738102,7.34615384615385,6.49704902492667,9,6,8,6,8,9,8,5,10,8,8,8,6,8.8,8,8.5,7,8,8,6,9,8,8.5,7,8
"591","tiger-fauna_tygr-fauna","tiger-fauna","tiger","fauna","tygr-fauna","tygr","fauna",7.51950178387968,6.596,5.67249821612032,7.34737411140129,5.61538461538461,3.88339511936794,7,4,6,8,7,6,10,1,10,7,5,8,3,8.4,8,7.5,7,8,7,4,10,5,4,6,8
"592","tiger-feline_tygr-kočkovitý","tiger-feline","tiger","feline","tygr-kočkovitý","tygr","kočkovitý",8.25439186851246,7.704,7.15360813148754,8.67562117761834,8,7.32437882238166,9,5,7,7,7,8,10,6,10,8,6,8,9,8.6,9,7.5,6,8,7,7,10,7,8.5,7,7
"594","tiger-jaguar_tygr-jaguár","tiger-jaguar","tiger","jaguar","tygr-jaguár","tygr","jaguár",8.04314602905158,7.16,6.27685397094842,8.82746357229161,8,7.17253642770839,6,5,8,6,8,2,10,3,10,8,5,8,4,8,8,8.5,9,6,9,6,10,8,7.5,7,9
"595","tiger-mammal_tygr-savec","tiger-mammal","tiger","mammal","tygr-savec","tygr","savec",7.87508056073169,7.028,6.18091943926831,7.73893395721459,6.84615384615385,5.9533737350931,7,3,7,8,7,5,10,2,9,8,5,7,10,9.2,8,6,7,8,7,7,10,9,5.5,6,5
"596","tiger-organism_tygr-organismus","tiger-organism","tiger","organism","tygr-organismus","tygr","organismus",5.84259044591402,4.78,3.71740955408598,6.42698443533481,4.76923076923077,3.11147710312673,7,3,4,4,6,1,0,0,9,6,5,7,7,7,2,6,7,8,6,4,8,1,3.5,4,4
"598","tiger-tiger_tygr-tygr","tiger-tiger","tiger","tiger","tygr-tygr","tygr","tygr",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"599","tiger-zoo_tygr-zoo","tiger-zoo","tiger","zoo","tygr-zoo","tygr","zoo",7.75165983338972,6.976,6.20034016661028,6.77729674382227,5.86538461538461,4.95347248694696,8,5,7,5,6,6,10,2,9,8,6,8,9,9.4,6,7,8,4,7,7,10,8,6,6,7
"601","tool-implement_nářadí-nástroj","tool-implement","tool","implement","nářadí-nástroj","nářadí","nástroj",7.98356011107983,7.262,6.54043988892017,7.46714438292334,6.46153846153846,5.45593254015359,8,5,8,8,9,5,9,3,10,6,7,8,8,8.8,7,6.5,7,5,8,7,10,5,8.25,6,9
"602","train-car_vlak-auto","train-car","train","car","vlak-auto","vlak","auto",7.81280138588186,7.14,6.46719861411814,7.29864273928056,6.30769230769231,5.31674187610406,8,6,7,7,7,5,7,4,9,8,8,9,2,8.5,8,8,7,6,8,6,9,8,8,7,8
"604","travel-activity_cestování-činnost","travel-activity","travel","activity","cestování-činnost","cestování","činnost",6.71868354308269,5.806,4.89331645691731,6.03417410654909,5,3.96582589345091,2,5,7,8,5,2,4,4,10,7,4,8,8,7.4,4,6.5,3,9,6,4,6,4,8.25,5,8
"606","treatment-recovery_léčba-zotavení","treatment-recovery","treatment","recovery","léčba-zotavení","léčba","zotavení",8.36313838066656,7.908,7.45286161933344,8.56045478217024,7.90625,7.25204521782976,8,9,7,8,7,8,10,8,9,7,7,8,7,9.7,9,8,7,5.5,8,8,10,7,8.5,7,7
"608","type-kind_typ-druh","type-kind","type","kind","typ-druh","typ","druh",9.30737131514711,8.756,8.20462868485289,9.3513826700751,8.96875,8.5861173299249,9,8,9,8.5,9,8,8,9,10,6,9,9,10,9.9,9,9.5,9,4,9,9,9,8,10,10,10
"611","victim-emergency_oběť-nebezpečí","victim-emergency","victim","emergency","oběť-nebezpečí","oběť","nebezpečí",6.85551953703152,5.96,5.06448046296848,7.36816083316259,6.46875,5.56933916683741,3,1,7,7,5,2,8,7,8,8,2,8,7,7,8,6,3,7,8,6,5,8,5,6,7
"614","video-archive_video-archiv","video-archive","video","archive","video-archiv","video","archiv",6.76399439189703,5.912,5.06000560810297,7.23920591110869,6.34375,5.44829408889131,4,6,3,6,8,6,9,1,7,7,5,7,8,9.8,5,6,6,5,5,7,8,2,7,4,6
"615","viewer-serial_divák-seriál","viewer-serial","viewer","serial","divák-seriál","divák","seriál",7.70561551481246,7.032,6.35838448518754,4.12178979636311,2.96875,1.81571020363689,6,4,6,6,9,8,10,4,9,7,5,8,8,8.3,9,7,7,7,7,5,9,6,8.5,6,6
"617","vodka-brandy_vodka-brandy","vodka-brandy","vodka","brandy","vodka-brandy","vodka","brandy",8.17812126680817,7.536,6.89387873319183,8.82310669349446,8.13461538461539,7.44612407573631,9,6,7,7,7,7,10,4,9,8,6,8,6,9.4,8,8.5,8,5,8,6,10,8,9.5,6,8
"618","vodka-gin_vodka-gin","vodka-gin","vodka","gin","vodka-gin","vodka","gin",8.5988312035551,7.82,7.0411687964449,9.15342137374509,8.46153846153846,7.76965554933183,9,7,8,7,10,8,9,4,9,8,9,5,2,9,9,9,9,7.5,9,6,10,8,9,7,8
"620","volunteer-motto_dobrovolník-moto","volunteer-motto","volunteer","motto","dobrovolník-moto","dobrovolník","moto",3.13447758753712,2.32,1.50552241246288,3.60974745018918,2.5625,1.51525254981082,7,0,3,2,3,0,0,0,1,4,1,3,2,2,6,4,3,3,5,1,3,1,4,0,0
"623","war-troops_válka-vojáci","war-troops","war","troops","válka-vojáci","válka","vojáci",8.5055820432318,8.096,7.6864179567682,8.52018132237753,8.125,7.72981867762247,6,7,7,8,9,9,10,8,9,8,8,8,7,9.9,8,8.5,7,8,8,8,10,8,8,8,7
"625","water-seepage_voda-průsak","water-seepage","water","seepage","voda-průsak","voda","průsak",7.95846939281945,7.276,6.59353060718055,7.8959874565281,6.5625,5.2290125434719,8,6.5,6,7,7,8,10,3,9.5,6,5,8,7,9.4,8,7,9,6,7,6,10,6,8.5,6,8
"627","weapon-secret_zbraň-tajný","weapon-secret","weapon","secret","zbraň-tajný","zbraň","tajný",6.75103032565074,5.676,4.60096967434926,7.11874651957597,6.0625,5.00625348042403,6,0,4,4,6,8,9,0,8,8,3,7,7,8.9,7,3,7,4,7,7,9,2,7,5,5
"629","weather-forecast_počasí-předpověď","weather-forecast","weather","forecast","počasí-předpověď","počasí","předpověď",8.12999644889401,7.476,6.82200355110599,8.82744064812247,8.34375,7.86005935187753,6,7,7,8,8,9,10,4,9,7,7,8,5,9.9,8,7.5,9,5,7,8,10,7,8.5,6,6
"630","Wednesday-news_středa-noviny","Wednesday-news","Wednesday","news","středa-noviny","středa","noviny",3.26837694485379,2.556,1.84362305514621,3.13639178803077,2.21875,1.30110821196923,2,3,4,1,1,0,1,0,4,5,1,1,2,3.4,3,3,5,1.5,6,5,4,1,4,2,1
"632","wood-forest_dřevo-les","wood-forest","wood","forest","dřevo-les","dřevo","les",8.27117856833167,7.808,7.34482143166833,8.65890146891004,7.73076923076923,6.80263699262842,8,8,7,8,8,6,10,9,9,7,7,9,7,9.7,7,6,7,8,8,7,10,8,7.5,7,7
"634","word-similarity_slovo-podobnost","word-similarity","word","similarity","slovo-podobnost","slovo","podobnost",5.0985746306043,3.98,2.8614253693957,6.40673648699749,4.75,3.09326351300251,2,2,0,2,4,6,9,6,7,6,2,4,6,7.5,3,4,4,3,3,7,9,1,2,0,0
